date_bs,date_ad,PSP_Agents,Wallet_Users,ATM_Machines,Debit_Cards,Credit_Cards,Prepaid_Cards,Mobile_Banking_Customers,Internet_Banking_Customers,Branchless_Banking,RTGS_Participants,ConnectIPS_Users,ECC_Members,IPS_Members,RTGS_Count,ATM_Cash_Withdrawal_Count,ECC_Count,IPS_Count,ConnectIPS_Count,Debit_Card_Count,Credit_Card_Count,Prepaid_Card_Count,Internet_Banking_Count,Mobile_Banking_Count,Branchless_Banking_Count,Wallet_Count,QR_Count,POS_Count,Ecommerce_Count,Faster_Payment_Count,Cross_Border_QR_Count,Other_Retail_Count,RTGS_Value,ATM_Cash_Withdrawal_Value,ECC_Value,IPS_Value,ConnectIPS_Value,Debit_Card_Value,Credit_Card_Value,Prepaid_Card_Value,Internet_Banking_Value,Mobile_Banking_Value,Branchless_Banking_Value,Wallet_Value,QR_Value,POS_Value,Ecommerce_Value,Faster_Payment_Value,Cross_Border_QR_Value,Other_Retail_Value
2080 Kartik,2023-10,14486,20567401,5059,12673560,301236,160406,22505083,1759193,1268,44,1170855,54,119,46853,10318787,690854,1651295,4604013,11158905,270196,84481,225892,26981617,65706,21130619,8729939,1091419,101846,8676003,0,3527908,2247494.74732481,92401,335528.54406177514,133088.9098929432,349991.2804926301,96092,1624,598.13128538,10906,228327.95705772995,1302,20245.97763411,32017.05469657,6235,863,249342.03404744,0,234523.79689494
2080 Mangsir,2023-11,15100,20827994,5073,12680168,303720,165695,22624607,1788657,1220,44,1182756,54,120,62579,9586546,930119,1350418,5151157,10320773,240580,87439,262623,31327659,62902,22683040,11252394,935239,125170,9415411,0,3873197,2593151.7290488076,80101.00799075,458081.4389986322,170847.647913489,432071.86252315005,83720.65168946999,1640.46252167,538.71965399,13376.788491289999,263464.37727043,1426.21069432,23180.778743759998,38059.55640056999,5074.28420937,720.7716635300001,294859.81821776,0,291986.46926376
2080 Push,2023-12,15076,21228529,5064,12432281,279346,155925,23215180,1808359,1221,44,1197705,54,120,62970,10455659,969752,2064326,5563274,11222577,251714,89627,273286,33224078,55725,21388368,12586268,993646,112993,10183780,0,4189163,2629048.17982728,84421.5104262,509066.32829328725,204296.1494395011,454950.13474665,88069.65888973,1767.1346971399998,633.6073384700001,14807.625340439996,282240.98330796004,1209.4629583199999,23083.996145857996,38595.99289131999,5322.342013920001,723.82673922,312567.30572461,0,303346.13930299
2080 Magh,2024-01,15214,21295449,5078,12524121,282945,160725,23506028,1835849,1213,44,1214678,54,122,66698,10711574,962825,4539379,5673135,11417089,256197,98155,264840,33852704,79548,22727369,13157762,931189,126870,10112612,0,4511471,2822861.2290905304,86484.64734545,479291.0157551987,198546.12850941264,452717.9993317401,89744.30940812,1775.70953245,599.0959551999999,13786.768292509998,289387.3792348301,1607.25576275,23871.856227304997,37734.378469949996,4974.898395859999,656.27016535,317293.88953449,0,298697.81035021
2080 Falgun,2024-02,15408,21633601,5091,12651185,283024,163276,23783389,1874982,1217,44,1228140,54,124,67540,10785143,996874,1715625,5971115,11523192,256777,97002,284141,32462954,71333,22410321,14291877,969145,121499,11080215,0,4796138,3453747.31418134,88069.82394454001,480505.11255688604,188165.93014236205,483182.0822945,91480.24002386,1767.56713413,618.6087635399999,14330.036107720001,291953.81656118995,1580.86380627,24020.251325318,42560.48431794,5189.09794903,605.8981107,346100.92696926004,0,324467.15950441
2080 Chaitra,2024-03,15339,22277423,5096,12714861,284672,166965,24053629,1904773,1195,44,1240666,54,126,71802,10975001,1017042,2265932,6099490,11752608,266249,94496,281536,35165212,71271,24484072,16103164,1012815,124497,11625135,0,4994136,3467334.8910509204,89873.64762672999,511757.0631373927,211123.75624726305,513128.06830806995,93556.53872952999,1888.92842805,583.30451943,14398.23329863,298970.5708527799,1571.0779171799998,26546.880966409004,45678.11065596001,5490.421305350001,662.29049693,359737.17854871,0,346141.21164701
2081 Baisakh,2024-04,16525,22615122,5163,12789656,286253,171418,23797680,1938888,1170,44,1251440,54,126,70692,11465373,1027048,3404756,6314996,12264152,282790,101598,307316,42444517,88047,27856329,17639565,1045993,135972,12109894,0,5335493,3579782.2948949668,93404.00344721001,492516.17524420546,238113.2217436665,522703.66059379,97127.87269127999,1899.0604661300001,656.21073379,14679.208743760004,336058.37215322,1808.77945974,28439.31686166,52756.866487880005,5523.93203132,752.3545616699998,366774.64519290003,0,355358.25581766997
2081 Jestha,2024-05,17463,23038240,5182,12927850,287522,175597,24363776,1945736,1148,44,1262797,54,125,75782,11467984,1122289,1329060,6528852,12276802,288507,104280,330414,44372031,75632,32514968,19820220,1058154,142365,12522132,0,5578946,3461535.73316871,91009.10736772,524097.8389172154,218973.13481965594,562617.7749424701,94782.53263120998,2035.16550607,702.02771215,16311.462619700003,351286.56542872003,1733.82695398,29354.327052227996,53880.967591550005,5632.761369660001,873.88250219,390268.93243785,0,379697.35857121996
2081 Asar,2024-06,17563,23461107,5193,12893528,289239,181724,24648846,1919322,1129,44,1276886,54,132,81605,11216030,1292363,5150393,7787282,12040786,282728,107663,351301,45669301,75501,32105917,20825615,1068417,145977,13051828,0,6859731,6451161.1913499,91261,672755.3827065378,359990.76487740537,666582.5486586898,95260,2073,768.71703097,17738,373978,1649,38146.589178669,61736.805327730006,5925,913.1096694299999,419225.83159481006,0,465121.46373307
2081 Saun,2024-07,17474,24257656,5200,12997305,290736,188609,24961165,1962827,1107,44,1299076,54,132,74380,11316520,1009975,774945,6844678,12173494,292990,113649,409065,47460245,91775,30878940,22934627,1112479,150292,13600503,38206,5871897,10803021.53486779,87871.75755998,532311.0982606028,174064.89577978037,525337.71161618,91938.76770032001,2063.52185533,1048.52752392,22491.16553686,377632.38014823996,1884.84463801,43697.8567880084,62286.337036699995,6046.62757863,1128.90253528,421428.29021201,94.62379092,323038.74943212
